time,open,high,low,close,volume
2024-09-09,45.1250,45.1250,45.1250,45.1250,0
2024-09-10,50.0000,50.0000,50.0000,50.0000,0
2024-09-11,51.6250,51.6250,51.6250,51.6250,0
2024-09-12,50.0000,50.0000,50.0000,50.0000,0
2024-09-13,50.3000,50.3000,50.3000,50.3000,0
2024-09-16,47.3750,47.3750,47.3750,47.3750,0
2024-09-17,49.4643,49.4643,49.4643,49.4643,0
2024-09-18,46.1562,46.1562,46.1562,46.1562,0
2024-09-19,50.0833,50.0833,50.0833,50.0833,0
2024-09-20,45.4250,45.4250,45.4250,45.4250,0
2024-09-23,51.3636,51.3636,51.3636,51.3636,0
2024-09-24,42.5000,42.5000,42.5000,42.5000,0
2024-09-25,46.2500,46.2500,46.2500,46.2500,0
2024-09-26,44.5893,44.5893,44.5893,44.5893,0
2024-09-27,50.1292,50.1292,50.1292,50.1292,0
2024-09-30,55.9111,55.9111,55.9111,55.9111,0
2024-10-01,56.8621,56.8621,56.8621,56.8621,0
2024-10-02,50.8100,50.8100,50.8100,50.8100,0
2024-10-03,50.0371,50.0371,50.0371,50.0371,0
2024-10-04,58.3255,58.3255,58.3255,58.3255,0
2024-10-07,62.6259,62.6259,62.6259,62.6259,0
2024-10-08,52.8458,52.8458,52.8458,52.8458,0
2024-10-09,48.9082,48.9082,48.9082,48.9082,0
2024-10-10,50.6281,50.6281,50.6281,50.6281,0
2024-10-11,48.8297,48.8297,48.8297,48.8297,0
2024-10-14,43.7857,43.7857,43.7857,43.7857,0
2024-10-15,51.4435,51.4435,51.4435,51.4435,0
2024-10-16,52.8225,52.8225,52.8225,52.8225,0
2024-10-17,52.0778,52.0778,52.0778,52.0778,0
2024-10-18,61.6376,61.6376,61.6376,61.6376,0
2024-10-21,64.7477,64.7477,64.7477,64.7477,0
2024-10-22,60.9074,60.9074,60.9074,60.9074,0
2024-10-23,58.2961,58.2961,58.2961,58.2961,0
2024-10-24,54.8554,54.8554,54.8554,54.8554,0
2024-10-25,58.3711,58.3711,58.3711,58.3711,0
2024-10-28,59.4645,59.4645,59.4645,59.4645,0
2024-10-29,61.2770,61.2770,61.2770,61.2770,0
2024-10-30,57.0689,57.0689,57.0689,57.0689,0
2024-10-31,51.1320,51.1320,51.1320,51.1320,0
2024-11-01,49.1630,49.1630,49.1630,49.1630,0
2024-11-04,50.1064,50.1064,50.1064,50.1064,0
2024-11-05,51.8854,51.8854,51.8854,51.8854,0
2024-11-06,42.5628,42.5628,42.5628,42.5628,0
2024-11-07,39.9450,39.9450,39.9450,39.9450,0
2024-11-08,39.7379,39.7379,39.7379,39.7379,0
2024-11-11,37.9467,37.9467,37.9467,37.9467,0
2024-11-12,38.4638,38.4638,38.4638,38.4638,0
2024-11-13,35.9596,35.9596,35.9596,35.9596,0
2024-11-14,34.1168,34.1168,34.1168,34.1168,0
2024-11-15,37.8045,37.8045,37.8045,37.8045,0
2024-11-18,42.6687,42.6687,42.6687,42.6687,0
2024-11-19,44.6933,44.6933,44.6933,44.6933,0
2024-11-20,41.1384,41.1384,41.1384,41.1384,0
2024-11-21,40.7951,40.7951,40.7951,40.7951,0
2024-11-22,43.6277,43.6277,43.6277,43.6277,0
2024-11-25,35.6904,35.6904,35.6904,35.6904,0
2024-11-26,39.9048,39.9048,39.9048,39.9048,0
2024-11-27,35.2463,35.2463,35.2463,35.2463,0
2024-11-29,45.2605,45.2605,45.2605,45.2605,0
2024-12-02,46.1636,46.1636,46.1636,46.1636,0
2024-12-03,53.0428,53.0428,53.0428,53.0428,0
2024-12-04,58.4625,58.4625,58.4625,58.4625,0
2024-12-05,55.5367,55.5367,55.5367,55.5367,0
2024-12-06,56.8747,56.8747,56.8747,56.8747,0
2024-12-09,61.9366,61.9366,61.9366,61.9366,0
2024-12-10,60.5728,60.5728,60.5728,60.5728,0
2024-12-11,63.9761,63.9761,63.9761,63.9761,0
2024-12-12,45.7505,45.7505,45.7505,45.7505,0
2024-12-13,36.9092,36.9092,36.9092,36.9092,0
2024-12-16,45.5442,45.5442,45.5442,45.5442,0
2024-12-17,44.2371,44.2371,44.2371,44.2371,0
2024-12-18,33.4411,33.4411,33.4411,33.4411,0
2024-12-19,32.6647,32.6647,32.6647,32.6647,0
2024-12-20,38.4115,38.4115,38.4115,38.4115,0
2024-12-23,37.2352,37.2352,37.2352,37.2352,0
2024-12-24,35.4915,35.4915,35.4915,35.4915,0
2024-12-26,38.5778,38.5778,38.5778,38.5778,0
2024-12-27,36.2272,36.2272,36.2272,36.2272,0
2024-12-30,25.5800,25.5800,25.5800,25.5800,0
